ambiente,modificaciones,documentos_unicos,usuarios_activos,areas_activas,porcentaje
windows,2107481,394090,7928,374,52.55
onedrive,1561598,495033,8082,690,38.94
sharepoint,341122,134173,4447,543,8.51
fileserver,8,4,2,1,0.0
